,Conta,Descrição,31/12/2010,31/12/2009,01/01/2010 a 31/12/2010,01/01/2009 a 31/12/2009
110,2.02.09.02,Carteira de câmbio,54.172,20.127,,
111,2.02.09.03,Sociais e estatutárias,29.448,0,,
112,2.02.09.04,Fiscais e previdenciárias,413.857,92.559,,
113,2.02.09.05,Negociação e intermediação de valores,13.695,2.040,,
114,2.02.09.06,Diversas,25.568,19.378,,
115,2.03,Resultados de Exercícios Futuros,24.290,8.397,,
116,2.03.01,Resultado de Exercícios Futuros,24.290,8.397,,
117,2.05,Patrimônio Líquido,5.602.593,3.244.500,,
118,2.05.01,Capital Social Realizado,2.971.350,555.007,,
119,2.05.01.01,Capital Social domiciliado no país,2.971.350,555.007,,
120,2.05.02,Reservas de Capital,0,7.079,,
121,2.05.03,Reservas de Reavaliação,,,,
122,2.05.03.01,Ativos Próprios,,,,
123,2.05.03.02,Controladas/Coligadas e Equiparadas,,,,
124,2.05.04,Reservas de Lucro,2.631.243,831.048,,
125,2.05.04.01,Legal,150.775,111.002,,
126,2.05.04.02,Estatutária,2.010.129,444.005,,
127,2.05.04.03,Para Contingências,,,,
128,2.05.04.04,De Lucros a Realizar,470.339,276.041,,
129,2.05.04.05,Retenção de Lucros,,,,
130,2.05.04.06,Especial p/ Dividendos Não Distribuídos,,,,
131,2.05.04.07,Outras Reservas de Lucro,,,,
132,2.05.05,Ajustes de Avaliação Patrimonial,,,,
133,2.05.05.01,Ajustes de Títulos e Valores Mobiliários,,,,
134,2.05.05.02,Ajustes Acumulados de Conversão,,,,
135,2.05.05.03,Ajustes de Combinação de Negócios,,,,
136,2.05.06,Lucros/Prejuízos Acumulados,0,1.851.366,,
137,3.01,Receitas da Intermediação Financeira,,,3.096.264,1.990.539
138,3.01.01,Operações de créditos,,,315.422,180.853
139,3.01.02,Resultado de operações com títulos e valores mobiliários,,,2.506.628,1.669.579
140,3.01.03,Resultado de operações de câmbio,,,38.676,140.107
141,3.01.04,Receita com instrumentos financeiros derivativos,,,235.538,0
142,3.02,Despesas da Intermediação Financeira,,,-2.347.860,-1.486.581
143,3.02.01,Operações de captação no mercado,,,-2.437.091,-1.135.292
144,3.02.02,Operações de empréstimos e repasses,,,95.907,-133.541
145,3.02.03,Provisào para operações de créditos e outros créditos,,,-6.676,-195.459
146,3.02.04,Despesas com instrumentos financeiros derivativos,,,0,-22.289
147,3.03,Resultado Bruto Intermediação Financeira,,,748.404,503.958
148,3.04,Outras Despesas/Receitas Operacionais,,,441.515,638.000
149,3.04.01,Receitas de Prestação de Serviços,,,435.067,362.183
150,3.04.02,Despesas de Pessoal,,,-176.227,-139.223
151,3.04.03,Outras Despesas Administrativas,,,-211.713,-144.558
152,3.04.04,Despesas Tributárias,,,-124.986,-101.575
153,3.04.05,Outras Receitas Operacionais,,,160.353,459.226
154,3.04.06,Outras Despesas Operacionais,,,-1.452,-12.228
155,3.04.07,Resultado da Equivalência Patrimonial,,,360.473,214.175
156,3.05,Resultado Operacional,,,1.189.919,1.141.958
157,3.06,Resultado Não Operacional,,,-964,3.278
158,3.06.01,Receitas,,,0,3.278
159,3.06.02,Despesas,,,-964,0
160,3.07,Resultado Antes Tributação/Participações,,,1.188.955,1.145.236
161,3.08,Provisão para IR e Contribuição Social,,,81.922,1.662
162,3.08.01,Provisão para imposto de renda,,,81.891,1.081
163,3.08.02,Provisão para contribuição social,,,31,581
164,3.09,IR Diferido,,,-284.852,-323.758
165,3.10,Participações/Contribuições Estatutárias,,,-175.119,-193.855
166,3.10.01,Participações,,,,
167,3.10.02,Contribuições,,,,
168,3.11,Reversão dos Juros sobre Capital Próprio,,,,
169,3.13,Lucro/Prejuízo do Período,,,810.906,629.285
170,3.99,Lucro por Ação - (R$ / Ação),,,034000,050000
